Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,label,class
MRPS26,0,4,0,0,0,0,0,0,0,24,2,1,0,9,0,0,0,0,0,40,0,35,6.681498285,2.688949838,19.67243708,8.174925683,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.398072268,0.026437914,20,3026675,3028895,835589.8,288,2.21E-06,0.46487,0.05383581,20,41.05405,66.32432,0.931455,40.41967,1.508197,62.15798,4.00E-05,48,2.6,0,0
USP41,0,0,0,0,1,1,0,0,0,43,5,0,0,20,2,0,1,1,0,70,0,63,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0,1,2.428571429,0,0
VLDLR,0,21,0,1,2,1,0,1,0,111,11,0,0,55,5,0,3,2,0,203,0,158,6.681498285,2.688949838,17.55709867,9.082149041,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.135528808,0.011967199,9,2621793,2654485,192846.2,541,2.44E-06,0.40627,-0.000837818,2,50.86486,97.13514,0.9086958,139.2656,18.89508,42.57473,1.41E-06,8,2.303571429,0,0
MYL5,0,0,5,4,0,0,0,0,1,22,1,2,0,12,2,0,0,0,0,49,0,45,6.681498285,2.688949838,19.2873237,8.936637939,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.540740389,0.013179749,4,671711,675816,639826.6,489,3.46E-06,0.51881,0.01236873,17,37.78378,74.08108,0.828764,69.25574,4.009836,61.13009,3.32E-07,2,1.923076923,0,0
OR4C11,0,1,0,0,7,0,0,0,0,129,9,0,0,52,0,0,7,0,0,191,0,169,6.681498285,2.688949838,10.15754147,10.10459875,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,11,55370919,55371849,1141.154,1100,1.06E-05,0.37888,-0.03699483,6,35.64865,80.16216,1,89.61639,3.911475,40.00152,0.000152065,24.91374182,2.603773585,0,0
NDUFA4,0,14,0,7,0,1,0,0,0,17,1,0,0,4,3,0,0,1,0,46,0,42,6.681498285,2.688949838,17.11633888,10.10197567,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.062861134,0.000718078,7,10972815,10979813,142078.5,1098,5.55E-06,0.37711,-0.01137527,1,51.05405,98.78378,0.8171651,145.4656,19.08197,45.02715,6.92E-06,11,4.4,0,0
HSD3B1,0,4,0,15,6,0,0,0,14,75,12,0,0,46,0,0,15,3,0,154,0,154,6.681498285,2.688949838,18.68736714,9.394462695,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,1,120049826,120057681,422140.5,672,2.77E-06,0.42225,0.007114665,5,58.16216,97.10811,0.9340181,161.4721,22.27541,49.11381,0.000152065,24.91374182,1.85106383,0,0
NBEAP1,0,0,0,0,0,0,0,0,2,0,0,0,71,0,1,0,0,0,0,74,0,64,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,1,0,0
SIGLECL1,0,20,0,29,1,0,0,0,1,64,3,0,0,31,1,0,4,0,0,146,0,124,6.681498285,2.688949838,18.42834545,9.299208018,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,19,51760964,51772582,352763.4,629,3.69E-06,0.46195,0.000680172,38,54.02703,99.05405,0.9076931,182.5082,28.31475,50.00258,0.000152065,24.91374182,2.125,0,0
COX8A,0,3,0,0,0,0,1,0,0,6,0,0,0,1,0,0,1,0,0,10,0,11,6.681498285,2.688949838,20.33492901,8.118941073,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.08945836,0.000669989,11,63742079,63744014,1322584,277,2.39E-06,0.53116,0.04218039,19,45.89189,83.94595,0.8289804,169.6492,38.59344,57.44726,1.23E-07,2,3,0,0
MKNK2,0,70,0,3,2,0,0,0,7,46,3,0,0,28,5,0,22,4,0,138,0,135,6.681498285,2.688949838,20.82206663,7.906890596,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.017962837,1.60E-05,19,2037470,2051243,1853815,239,2.52E-06,0.57982,0.0371077,35,39.75676,72.32432,0.8792006,61.23934,5.042623,62.89512,3.30E-06,11,1.862068966,0,0
LINC00298,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,11,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
COX7A2,0,5,0,0,1,1,0,0,0,13,3,0,0,14,1,0,1,1,0,36,0,37,6.681498285,2.688949838,18.58830399,8.727920455,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.04793773,0.000651004,6,75947393,75953644,394126.8,423,2.92E-06,0.38064,-0.002569905,3,43.72973,93.81081,0.8501929,158.1344,30.17049,43.61032,2.16E-05,5,1.2,0,0
